Date,Home Team,Home Conference,Home Division,Home Score,Visitor Team,Visitor Conference,Visitor Division,Visitor Score,Post Season,Season
1996-11-01,Memphis Grizzlies,West,Southwest,85,Portland Trail Blazers,West,Northwest,114,FALSE,1996
1996-11-02,Charlotte Hornets,East,Southeast,109,Toronto Raptors,East,Atlantic,98,FALSE,1996
1996-11-05,Sacramento Kings,West,Pacific,80,Houston Rockets,West,Southwest,102,FALSE,1996
1996-11-06,Milwaukee Bucks,East,Central,105,Memphis Grizzlies,West,Southwest,89,FALSE,1996
1996-11-07,Sacramento Kings,West,Pacific,87,Atlanta Hawks,East,Southeast,91,FALSE,1996
1996-11-08,Orlando Magic,East,Southeast,86,Brooklyn Nets,East,Atlantic,82,FALSE,1996
1996-11-09,Chicago Bulls,East,Central,104,Boston Celtics,East,Atlantic,80,FALSE,1996
1996-11-10,Los Angeles Lakers,West,Pacific,92,Atlanta Hawks,East,Southeast,85,FALSE,1996
1996-11-12,Atlanta Hawks,East,Southeast,87,Cleveland Cavaliers,East,Central,83,FALSE,1996
1996-11-15,Sacramento Kings,West,Pacific,103,Milwaukee Bucks,East,Central,99,FALSE,1996
1996-11-16,Orlando Magic,East,Southeast,92,Toronto Raptors,East,Atlantic,87,FALSE,1996
1996-11-17,Oklahoma City Thunder,West,Northwest,91,Memphis Grizzlies,West,Southwest,81,FALSE,1996
1996-11-19,Milwaukee Bucks,East,Central,100,Dallas Mavericks,West,Southwest,97,FALSE,1996
1996-11-20,Phoenix Suns,West,Pacific,99,Chicago Bulls,East,Central,113,FALSE,1996
1996-11-21,Indiana Pacers,East,Central,87,Charlotte Hornets,East,Southeast,90,FALSE,1996
1996-11-23,Milwaukee Bucks,East,Central,90,Washington Wizards,East,Southeast,95,FALSE,1996
1996-11-26,Denver Nuggets,West,Northwest,117,Phoenix Suns,West,Pacific,108,FALSE,1996
1996-11-27,San Antonio Spurs,West,Southwest,109,Portland Trail Blazers,West,Northwest,120,FALSE,1996
1996-11-27,LA Clippers,West,Pacific,82,Miami Heat,East,Southeast,98,FALSE,1996
1996-11-29,Philadelphia 76ers,East,Atlantic,100,Orlando Magic,East,Southeast,91,FALSE,1996
1997-01-26,Milwaukee Bucks,East,Central,94,San Antonio Spurs,West,Southwest,76,FALSE,1996
1997-01-28,Washington Wizards,East,Southeast,102,Orlando Magic,East,Southeast,82,FALSE,1996
1997-05-05,Houston Rockets,West,Southwest,112,Oklahoma City Thunder,West,Northwest,102,TRUE,1996
1997-05-06,Chicago Bulls,East,Central,100,Atlanta Hawks,East,Southeast,97,TRUE,1996
1997-05-07,Houston Rockets,West,Southwest,101,Oklahoma City Thunder,West,Northwest,106,TRUE,1996
1997-05-08,Chicago Bulls,East,Central,95,Atlanta Hawks,East,Southeast,103,TRUE,1996
1997-05-09,Miami Heat,East,Southeast,88,New York Knicks,East,Atlantic,84,TRUE,1996
1997-05-10,Atlanta Hawks,East,Southeast,80,Chicago Bulls,East,Central,100,TRUE,1996
1997-05-11,New York Knicks,East,Atlantic,77,Miami Heat,East,Southeast,73,TRUE,1996
1997-05-11,Oklahoma City Thunder,West,Northwest,106,Houston Rockets,West,Southwest,110,TRUE,1996
1997-05-12,Utah Jazz,West,Northwest,98,Los Angeles Lakers,West,Pacific,93,TRUE,1996
1997-05-13,Houston Rockets,West,Southwest,94,Oklahoma City Thunder,West,Northwest,100,TRUE,1996
1997-10-31,Brooklyn Nets,East,Atlantic,97,Indiana Pacers,East,Central,95,FALSE,1997
1997-10-31,Miami Heat,East,Southeast,114,Toronto Raptors,East,Atlantic,101,FALSE,1997
1997-10-31,Detroit Pistons,East,Central,92,Washington Wizards,East,Southeast,79,FALSE,1997
1997-10-31,Phoenix Suns,West,Pacific,110,LA Clippers,West,Pacific,100,FALSE,1997
1997-10-31,Portland Trail Blazers,West,Northwest,83,Oklahoma City Thunder,West,Northwest,91,FALSE,1997
2018-10-16,Boston Celtics,East,Atlantic,105,Philadelphia 76ers,East,Atlantic,87,FALSE,2018
2018-10-16,Golden State Warriors,West,Pacific,108,Oklahoma City Thunder,West,Northwest,100,FALSE,2018
2018-10-17,Charlotte Hornets,East,Southeast,112,Milwaukee Bucks,East,Central,113,FALSE,2018
2018-10-17,Detroit Pistons,East,Central,103,Brooklyn Nets,East,Atlantic,100,FALSE,2018
2018-10-17,Indiana Pacers,East,Central,111,Memphis Grizzlies,West,Southwest,83,FALSE,2018
2018-10-20,Portland Trail Blazers,West,Northwest,121,San Antonio Spurs,West,Southwest,108,FALSE,2018
2018-10-20,Los Angeles Lakers,West,Pacific,115,Houston Rockets,West,Southwest,124,FALSE,2018
2018-10-21,Cleveland Cavaliers,East,Central,111,Atlanta Hawks,East,Southeast,133,FALSE,2018
2018-10-21,Oklahoma City Thunder,West,Northwest,120,Sacramento Kings,West,Pacific,131,FALSE,2018
2018-10-21,Denver Nuggets,West,Northwest,100,Golden State Warriors,West,Pacific,98,FALSE,2018
2018-10-21,LA Clippers,West,Pacific,115,Houston Rockets,West,Southwest,112,FALSE,2018
2018-10-22,Boston Celtics,East,Atlantic,90,Orlando Magic,East,Southeast,93,FALSE,2018
2018-10-22,Toronto Raptors,East,Atlantic,127,Charlotte Hornets,East,Southeast,106,FALSE,2018
2018-10-22,Milwaukee Bucks,East,Central,124,New York Knicks,East,Atlantic,113,FALSE,2018
2018-10-22,Minnesota Timberwolves,West,Northwest,101,Indiana Pacers,East,Central,91,FALSE,2018
2018-10-22,Dallas Mavericks,West,Southwest,115,Chicago Bulls,East,Central,109,FALSE,2018
2018-10-22,Utah Jazz,West,Northwest,84,Memphis Grizzlies,West,Southwest,92,FALSE,2018
2018-10-22,Portland Trail Blazers,West,Northwest,124,Washington Wizards,East,Southeast,125,FALSE,2018
2018-10-22,Golden State Warriors,West,Pacific,123,Phoenix Suns,West,Pacific,103,FALSE,2018
2018-10-22,Los Angeles Lakers,West,Pacific,142,San Antonio Spurs,West,Southwest,143,FALSE,2018
2018-10-23,Detroit Pistons,East,Central,133,Philadelphia 76ers,East,Atlantic,132,FALSE,2018
2018-10-23,New Orleans Pelicans,West,Southwest,116,LA Clippers,West,Pacific,109,FALSE,2018
2018-10-23,Denver Nuggets,West,Northwest,126,Sacramento Kings,West,Pacific,112,FALSE,2018
2018-10-24,Atlanta Hawks,East,Southeast,111,Dallas Mavericks,West,Southwest,104,FALSE,2018
2018-10-24,Cleveland Cavaliers,East,Central,86,Brooklyn Nets,East,Atlantic,102,FALSE,2018
2018-10-24,Miami Heat,East,Southeast,110,New York Knicks,East,Atlantic,87,FALSE,2018
2018-10-24,Toronto Raptors,East,Atlantic,112,Minnesota Timberwolves,West,Northwest,105,FALSE,2018
2018-10-24,Chicago Bulls,East,Central,112,Charlotte Hornets,East,Southeast,110,FALSE,2018
2018-10-24,Houston Rockets,West,Southwest,89,Utah Jazz,West,Northwest,100,FALSE,2018
2018-10-24,San Antonio Spurs,West,Southwest,96,Indiana Pacers,East,Central,116,FALSE,2018
2018-10-24,Milwaukee Bucks,East,Central,123,Philadelphia 76ers,East,Atlantic,108,FALSE,2018
2018-10-24,Phoenix Suns,West,Pacific,113,Los Angeles Lakers,West,Pacific,131,FALSE,2018
2018-10-24,Sacramento Kings,West,Pacific,97,Memphis Grizzlies,West,Southwest,92,FALSE,2018
2018-10-24,Golden State Warriors,West,Pacific,144,Washington Wizards,East,Southeast,122,FALSE,2018
2018-10-25,Detroit Pistons,East,Central,110,Cleveland Cavaliers,East,Central,103,FALSE,2018
